BoxID,X,Y,Velocity,Acceleration,Type
31,3003,347,2.047890622079217,,car
31,2500,444,0.5091168824543142,,car
31,3001,342,7.8092621930628,,car
31,3003,342,33.04925487813606,,car
31,3071,451,37.10857927757408,,truck
31,2354,343,16.507324919562226,,truck
31,2495,461,51.768450623907995,,car
31,2374,562,0.16099689437998488,,car
31,2350,346,47.950486462600146,,truck
31,2351,345,46.7524558499337,,truck

45,2412,516,49.94916647953197,0,car
45,2292,697,15.743652435187968,,car
45,2005,1016,30.344818338556586,,car
45,2003,1021,0.5191993836668144,,car

41,2514,421,0.6638072009250879,0,car
41,2409,515,42.70644054472346,,car
41,2089,899,16.287443998368804,,car
41,2395,522,78.14849618514742,,car
41,2390,526,49.94371744273749,,car
41,2072,926,37.32108037021437,,car
41,2058,945,1.6575644783838728,,car
41,2051,963,1.2303365393257244,,car
41,2023,1003,3.485870909830139,,car
41,2222,772,21.308351038970613,,car

43,3094,484,48.16886097885231,0,truck
43,2295,690,60.001535980339696,,car

33,2562,275,11.80821951015478,0,car
33,2373,305,14.985862137361334,,truck
33,2556,315,0.16099689437998488,,car
33,2884,317,0.2276839915321233,,car
33,3087,466,28.94122374745062,,car
33,2376,549,0.9387651463491815,,car
33,3002,341,18.66800471394841,,car
33,2999,341,33.12633852389968,,car
33,2495,464,9.014100953506123,,car
33,2993,336,8.801981595072782,,car
33,2995,337,32.56700956489558,,car
33,2494,470,9.162972443481427,,car
33,2491,471,40.644749328787846,,car

28,2771,149,197.82493642612403,0,car
28,2851,234,11.92355651640902,,car
28,2768,148,201.07170207664728,,car
28,2371,306,31.860874564267693,,truck
28,2851,234,18.9244984081481,,car
28,310,1756,213.37168112005867,,car
28,2403,276,213.31024076682303,,truck
28,2615,267,0.216,,car
28,2552,309,17.376331488550743,,car
28,2498,441,32.282506965847624,,car
28,2887,311,10.286177132443326,,car
28,2892,310,24.048431133859857,,car
28,2540,350,38.952532343866935,,car
28,3002,342,0.20364675298172571,,car
28,2996,341,33.27179129533004,,car
28,2353,345,7.924580493628668,,truck
28,2561,314,4.118500698069626,,car
28,2557,313,11.595577087838276,,car
28,2350,347,31.837761730372947,,truck
28,2352,349,46.82679848121159,,truck

42,2425,480,7.688170653673084,0,car
42,2401,515,48.88821207612321,,car
42,2282,698,0.6638072009250879,,car
42,2282,710,0.4610249450951651,,car
42,2278,711,0.7653704985168949,,car
42,2242,753,3.4205683738232744,,car

32,2398,276,42.18978833793789,0,truck
32,2614,268,12.096000000000002,,car
32,2504,425,28.84972706976619,,car
32,2374,303,13.381350604479357,,truck
32,2356,316,17.44258512950417,,truck
32,2559,314,1.4825707403021282,,car
32,2886,315,0.5804825578774955,,car
32,2501,439,8.733395216065743,,car
32,2385,545,9.991670130663843,,car
32,3081,462,11.019999274047162,,car
32,2498,443,10.38398767333629,,car
32,2498,443,37.08006990284673,,car
32,2376,550,41.49005856828838,,car
32,2541,349,15.067279515559536,,car
32,2542,350,13.470928698497369,,car
32,2373,559,8.678912374255198,,car
32,3064,448,11.623931176671684,,truck
32,2544,352,51.92992201034005,,car
32,2541,353,13.905136892530042,,car
32,3059,447,14.122649043292128,,car
32,3058,446,51.296197753829674,,car

20,378,1705,85.25310795507693,0,car
20,350,1720,84.0171205409945,,car
